# waiting_times,queue_lengths
0.000000000000000000e+00,0.000000000000000000e+00
1.719832860854504153e+00,0.000000000000000000e+00
4.109977718080306541e-01,1.000000000000000000e+00
2.478445529431385630e-01,0.000000000000000000e+00
6.308937984332310123e-01,0.000000000000000000e+00
5.501385969330190306e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
6.234975774757280931e-01,0.000000000000000000e+00
3.240232949157871190e+00,1.000000000000000000e+00
6.968977594916729856e-01,1.000000000000000000e+00
1.447862748295250412e+00,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.771485760711929203e-01,0.000000000000000000e+00
4.950357409712857759e-01,1.000000000000000000e+00
5.397829089935779479e-01,0.000000000000000000e+00
5.074085873387250700e-01,1.000000000000000000e+00
8.485275551899356117e-01,1.000000000000000000e+00
4.900484473931694396e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.613470093286167639e-01,0.000000000000000000e+00
8.302690113718469433e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
4.840492587702378557e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.071997186380571065e-01,0.000000000000000000e+00
3.462083842884169371e-01,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
5.847756848597924773e-01,0.000000000000000000e+00
3.580578654237243086e-01,0.000000000000000000e+00
4.143254290189446465e-01,0.000000000000000000e+00
1.132350428184373925e+00,0.000000000000000000e+00
8.143015648976472676e-01,1.000000000000000000e+00
9.682958300509625360e-02,1.000000000000000000e+00
1.262738708895064121e+00,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
3.246500974201339318e+00,0.000000000000000000e+00
2.386695051384194244e+00,1.000000000000000000e+00
4.640179003747562092e-01,1.000000000000000000e+00
2.709160544914283264e+00,0.000000000000000000e+00
2.365669132114241791e+00,1.000000000000000000e+00
2.811151605936061060e+00,2.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.652159072224179681e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.976121467046169755e+00,0.000000000000000000e+00
1.261321512423194235e+00,1.000000000000000000e+00
1.144061195342487736e+00,2.000000000000000000e+00
1.078512762358883492e+00,1.000000000000000000e+00
1.196180558788881854e+00,1.000000000000000000e+00
7.556998705946824657e-01,1.000000000000000000e+00
9.850254439436270104e-01,2.000000000000000000e+00
1.646475267040273138e+00,2.000000000000000000e+00
1.055532524964647223e+00,0.000000000000000000e+00
9.784763125223037150e-01,0.000000000000000000e+00
2.494505294232908454e+00,1.000000000000000000e+00
1.339028084929367424e+00,1.000000000000000000e+00
1.334993442946682762e+00,2.000000000000000000e+00
5.664916437578426667e-02,0.000000000000000000e+00
9.081069974766506903e-01,0.000000000000000000e+00
5.110019412471160649e-01,1.000000000000000000e+00
1.067235623229123576e+00,2.000000000000000000e+00
1.181394440818536395e+00,3.000000000000000000e+00
4.062922208713359851e-01,0.000000000000000000e+00
6.165214960845588621e-01,0.000000000000000000e+00
1.078613646123386616e+00,1.000000000000000000e+00
6.799032566979121839e-01,1.000000000000000000e+00
2.852737857820102363e+00,2.000000000000000000e+00
2.294436197519672760e+00,1.000000000000000000e+00
2.959018791453075892e+00,2.000000000000000000e+00
2.953669408474823399e+00,3.000000000000000000e+00
4.046523671014796264e+00,4.000000000000000000e+00
5.071940556753489204e+00,5.000000000000000000e+00
4.599022011406262322e+00,4.000000000000000000e+00
8.035046656196485060e+00,5.000000000000000000e+00
6.985787943530397115e+00,4.000000000000000000e+00
7.750721848608520759e+00,5.000000000000000000e+00
8.050204602564960510e+00,5.000000000000000000e+00
8.616470579369490679e+00,6.000000000000000000e+00
8.903840660268315332e+00,7.000000000000000000e+00
7.166451566245669369e+00,6.000000000000000000e+00
8.715519430007162782e+00,7.000000000000000000e+00
1.110426176974097245e+01,8.000000000000000000e+00
1.012912074584853883e+01,7.000000000000000000e+00
9.814491434762302902e+00,8.000000000000000000e+00
7.509105470128673687e+00,6.000000000000000000e+00
8.882860554832703315e+00,6.000000000000000000e+00
8.132549884161633713e+00,6.000000000000000000e+00
9.525494205601191311e+00,6.000000000000000000e+00
8.883799352142773387e+00,7.000000000000000000e+00
8.782354906800634353e+00,7.000000000000000000e+00
9.647713606840483180e+00,8.000000000000000000e+00
9.233190123829743357e+00,6.000000000000000000e+00
1.020713454472276283e+01,7.000000000000000000e+00
1.050979258650401960e+01,8.000000000000000000e+00
1.212528187981949657e+01,9.000000000000000000e+00
9.588681705411772782e+00,8.000000000000000000e+00
9.736670213360852699e+00,9.000000000000000000e+00
6.433550879214337215e+00,7.000000000000000000e+00
6.212953380828452055e+00,7.000000000000000000e+00
6.784319009860382721e+00,7.000000000000000000e+00
4.215675339927528853e+00,4.000000000000000000e+00
2.999347906634156402e+00,2.000000000000000000e+00
6.497282829769602586e+00,3.000000000000000000e+00
7.492838323315993421e+00,4.000000000000000000e+00
7.580486354632739676e+00,5.000000000000000000e+00
5.132215578914184562e+00,3.000000000000000000e+00
4.467427913900394287e+00,4.000000000000000000e+00
2.882372651677613362e+00,4.000000000000000000e+00
2.764411975595763238e+00,5.000000000000000000e+00
1.445633690276778793e+00,2.000000000000000000e+00
1.996608873745628898e-01,0.000000000000000000e+00
8.391887746644499657e-01,1.000000000000000000e+00
7.567554563051430705e-01,1.000000000000000000e+00
2.683472139645061816e+00,2.000000000000000000e+00
2.722547369841578302e+00,1.000000000000000000e+00
3.214346895615562971e+00,2.000000000000000000e+00
1.997205662972589835e+00,2.000000000000000000e+00
1.310674220743294427e+00,2.000000000000000000e+00
1.526153228349414803e+00,3.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
1.185866539414860199e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
2.027475129203423876e+00,0.000000000000000000e+00
2.256044662787559218e+00,1.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00
4.673922354430715131e-02,0.000000000000000000e+00
1.102333911557252577e+00,0.000000000000000000e+00
3.398237626223988173e+00,1.000000000000000000e+00
6.385567858175420497e+00,2.000000000000000000e+00
4.067800934734435714e+00,2.000000000000000000e+00
4.391283732843504595e+00,2.000000000000000000e+00
5.329754105826935984e+00,3.000000000000000000e+00
