# avg_waiting_times, avg_queue_lengths
5.866118926002720224e-01,2.077100000000000168e+00
6.837740256777751213e-01,2.437100000000000044e+00
5.731744282734793083e-01,1.986299999999999955e+00
7.879767533767652044e-01,2.795799999999999841e+00
6.922111234257850576e-01,2.463699999999999779e+00
6.360139836355549470e-01,2.241400000000000059e+00
9.514708682288220976e-01,3.526899999999999924e+00
7.577020547399636596e-01,2.736600000000000144e+00
8.685869278009215044e-01,3.176899999999999835e+00
6.519159244080934279e-01,2.297400000000000109e+00
9.893318548582912264e-01,3.657399999999999984e+00
8.394568725857237679e-01,3.032999999999999918e+00
6.901009952038653639e-01,2.458800000000000097e+00
7.756460551901349643e-01,2.735899999999999999e+00
6.667045477381682295e-01,2.355700000000000127e+00
8.560947486059652389e-01,3.062800000000000189e+00
7.886924237282959549e-01,2.825699999999999878e+00
9.193466183637745148e-01,3.333299999999999930e+00
8.043143673207586719e-01,2.922400000000000109e+00
6.708945249195811256e-01,2.398299999999999876e+00
1.027419014782097184e+00,3.744400000000000173e+00
1.190198082555968817e+00,4.386899999999999800e+00
7.677116625911316605e-01,2.759199999999999875e+00
9.778072884151078892e-01,3.584299999999999820e+00
9.828099896239229638e-01,3.618799999999999795e+00
7.743878042436419529e-01,2.773800000000000043e+00
9.608832438061235548e-01,3.507000000000000117e+00
7.694689377396588537e-01,2.768100000000000005e+00
6.632149705996994715e-01,2.323300000000000143e+00
6.423955313420595115e-01,2.292499999999999982e+00
8.041956156810478040e-01,2.911000000000000032e+00
8.460258858535093518e-01,2.972999999999999865e+00
7.428106065064487007e-01,2.669799999999999951e+00
7.503218460999105943e-01,2.656499999999999861e+00
7.046028874398025943e-01,2.536799999999999944e+00
7.277535082785862031e-01,2.638900000000000023e+00
8.823468542709648199e-01,3.207599999999999785e+00
8.702170878568358248e-01,3.147400000000000198e+00
7.140781826412226918e-01,2.575899999999999856e+00
7.365021589318661022e-01,2.629700000000000149e+00
7.695868707838392497e-01,2.764600000000000168e+00
9.225605077163389067e-01,3.318099999999999827e+00
7.193776637358694215e-01,2.579899999999999860e+00
6.541648834674087531e-01,2.300499999999999989e+00
1.102579195711699045e+00,4.023600000000000065e+00
8.420172361621378609e-01,3.048799999999999955e+00
8.394657164097870661e-01,3.019499999999999851e+00
7.228397583629977419e-01,2.584099999999999842e+00
6.900895144857992491e-01,2.403700000000000170e+00
8.259553062806559431e-01,3.029999999999999805e+00
1.037290063025946285e+00,3.752499999999999947e+00
7.346765170150305613e-01,2.531299999999999883e+00
7.150005113273444346e-01,2.539499999999999869e+00
7.757950703919427315e-01,2.792899999999999938e+00
7.166263018681312547e-01,2.558300000000000018e+00
8.376193139268223176e-01,2.969500000000000028e+00
9.424304998783016307e-01,3.404900000000000038e+00
6.691546333844531347e-01,2.373299999999999965e+00
7.260665162207505796e-01,2.533199999999999896e+00
6.785993785801814893e-01,2.404799999999999827e+00
7.240168732028392506e-01,2.619099999999999984e+00
6.970704061011979702e-01,2.458499999999999908e+00
8.690511611558932037e-01,3.145799999999999930e+00
7.304122120417392283e-01,2.620499999999999829e+00
9.750601139775504356e-01,3.555200000000000138e+00
8.519504156369024361e-01,3.071499999999999897e+00
8.979982138116745505e-01,3.241499999999999826e+00
7.701239586338233245e-01,2.740299999999999958e+00
8.309384361063676394e-01,2.949300000000000033e+00
7.704970851682118038e-01,2.777699999999999836e+00
8.655155107230926292e-01,3.168600000000000083e+00
8.680737198913899277e-01,3.161099999999999799e+00
8.362444893817455593e-01,3.015000000000000124e+00
1.019488696154111418e+00,3.751300000000000079e+00
7.979266770972477385e-01,2.846000000000000085e+00
