# avg_waiting_times, avg_queue_lengths
5.416462837455781054e-01,3.932300000000000129e+00
4.877333910349236912e-01,3.499699999999999811e+00
5.310637664841982852e-01,3.840199999999999836e+00
4.196709592173323289e-01,2.954200000000000159e+00
4.512430790082562204e-01,3.200899999999999856e+00
4.869309779912134317e-01,3.508199999999999985e+00
5.720695711843276632e-01,4.169599999999999973e+00
4.853842248792411551e-01,3.480799999999999894e+00
6.214195603183360062e-01,4.565599999999999881e+00
5.932624052528781000e-01,4.331299999999999706e+00
5.861438759713309965e-01,4.283500000000000085e+00
4.604890035262752535e-01,3.280499999999999972e+00
4.322116331993125504e-01,3.070100000000000051e+00
4.889283806458367687e-01,3.516500000000000181e+00
4.458946576985819976e-01,3.170599999999999863e+00
5.011637260441131891e-01,3.610300000000000065e+00
4.586295183378160667e-01,3.283399999999999874e+00
4.556767833938754619e-01,3.247500000000000053e+00
5.074211162464221658e-01,3.642999999999999794e+00
5.280078264959461309e-01,3.815999999999999837e+00
4.395920872823646519e-01,3.121399999999999952e+00
6.384193750360943609e-01,4.700700000000000323e+00
4.228151043279324006e-01,2.995699999999999807e+00
5.036237620044967667e-01,3.634799999999999809e+00
7.275051767812761305e-01,5.396300000000000097e+00
3.987400956734380997e-01,2.804499999999999993e+00
5.026320380698517942e-01,3.631899999999999906e+00
4.629592409596555713e-01,3.306900000000000173e+00
4.411158768533346985e-01,3.130300000000000082e+00
5.378557978901454817e-01,3.892199999999999882e+00
5.070754059359983135e-01,3.655899999999999928e+00
3.402469134467154821e-01,2.335999999999999854e+00
5.333685851206493300e-01,3.862800000000000011e+00
4.893290647231657298e-01,3.507499999999999840e+00
5.091750828740870816e-01,3.668200000000000127e+00
5.316025118731708687e-01,3.851799999999999891e+00
6.129725846787712484e-01,4.490499999999999936e+00
4.430415335065985283e-01,3.146900000000000031e+00
4.338925892429703057e-01,3.075200000000000156e+00
5.369003540986112544e-01,3.886899999999999800e+00
6.417757625477059635e-01,4.728100000000000414e+00
4.138968563537004930e-01,2.922800000000000065e+00
4.707248776808176660e-01,3.361600000000000144e+00
5.094753870054390399e-01,3.674300000000000122e+00
4.886843525559185775e-01,3.504000000000000004e+00
4.320669370549901078e-01,3.061399999999999899e+00
5.427800015654334898e-01,3.955299999999999816e+00
4.436658245861095362e-01,3.147800000000000153e+00
4.023917085327340382e-01,2.825600000000000112e+00
4.943732092150338042e-01,3.565799999999999859e+00
4.494308288473787827e-01,3.212499999999999911e+00
5.402610565742741455e-01,3.930699999999999861e+00
7.143452585885632367e-01,5.296800000000000175e+00
5.150797494234011786e-01,3.720099999999999962e+00
4.421962900598380708e-01,3.159199999999999786e+00
5.045305898384111476e-01,3.634999999999999787e+00
4.738224294845556628e-01,3.395799999999999930e+00
4.374184117372038605e-01,3.108699999999999797e+00
3.756129553041885893e-01,2.624899999999999789e+00
4.185026069700020224e-01,2.958400000000000141e+00
4.507169825961875875e-01,3.197400000000000020e+00
4.368485607763139544e-01,3.098599999999999799e+00
4.054598963576567239e-01,2.863399999999999945e+00
6.128272306666027180e-01,4.499100000000000321e+00
5.458868291064559175e-01,3.963299999999999823e+00
4.448383176972278141e-01,3.177299999999999791e+00
3.989159258788831930e-01,2.801099999999999923e+00
4.764259054368697455e-01,3.416300000000000114e+00
3.839945612064881164e-01,2.686599999999999877e+00
4.272126806556544310e-01,3.021799999999999820e+00
5.886249098906810584e-01,4.310200000000000031e+00
3.913237098352531640e-01,2.729200000000000070e+00
4.977716750999071071e-01,3.571400000000000130e+00
5.357156449813567090e-01,3.875999999999999890e+00
4.801008395068298573e-01,3.445399999999999796e+00
5.168743087423365301e-01,3.727199999999999847e+00
4.939813434053736962e-01,3.554600000000000204e+00
5.488193838835457861e-01,3.982299999999999951e+00
3.992716809046433224e-01,2.817400000000000126e+00
4.464648213757311246e-01,3.182199999999999918e+00
4.417587972006434827e-01,3.134900000000000020e+00
5.079705481892405894e-01,3.659899999999999931e+00
5.275260128057792652e-01,3.826200000000000045e+00
3.808097644328637399e-01,2.661099999999999799e+00
4.131862165834672695e-01,2.928500000000000103e+00
4.502817210167248119e-01,3.209900000000000198e+00
5.220949315507624755e-01,3.779999999999999805e+00
4.628966580727928992e-01,3.320100000000000051e+00
5.183753807889975862e-01,3.736899999999999888e+00
4.231562763418518225e-01,2.975499999999999812e+00
4.182218971789906647e-01,2.963000000000000078e+00
4.018372687108020536e-01,2.829299999999999926e+00
6.761359267466141576e-01,4.988400000000000389e+00
5.323713077250313841e-01,3.863599999999999923e+00
5.933121518848837317e-01,4.346300000000000274e+00
4.324968763698460172e-01,3.078300000000000036e+00
6.449543188985349396e-01,4.752100000000000435e+00
4.892292883441077822e-01,3.510099999999999998e+00
4.304998136021305766e-01,3.058199999999999807e+00
5.988068319649051396e-01,4.383700000000000152e+00
3.964139369169567551e-01,2.773600000000000065e+00
4.166073677266327602e-01,2.943799999999999972e+00
6.045208458878846836e-01,4.427800000000000402e+00
4.936615567967100882e-01,3.544299999999999784e+00
5.760468415809429921e-01,4.201999999999999957e+00
6.152078081360071726e-01,4.521099999999999675e+00
4.130664458857580268e-01,2.916700000000000070e+00
4.550501170511646043e-01,3.226900000000000102e+00
4.336338471500182923e-01,3.079400000000000137e+00
4.131740397504667373e-01,2.911200000000000010e+00
4.652227821157721155e-01,3.324699999999999989e+00
4.438497243163023187e-01,3.159299999999999997e+00
4.556910179311187692e-01,3.251999999999999780e+00
6.198344955923441590e-01,4.546599999999999753e+00
4.518303028517882680e-01,3.222999999999999865e+00
4.927995483117705855e-01,3.543699999999999850e+00
8.417172902763370157e-01,6.311899999999999622e+00
4.769216918217051848e-01,3.419599999999999973e+00
5.797439817775271731e-01,4.222999999999999865e+00
5.510197724946481745e-01,4.005899999999999572e+00
4.825929134073843607e-01,3.461800000000000210e+00
6.549067560219531403e-01,4.824300000000000033e+00
5.467355015085144654e-01,3.982099999999999973e+00
4.484432179419561848e-01,3.193599999999999994e+00
4.809214315359930936e-01,3.453500000000000014e+00
4.736496794435894331e-01,3.379900000000000126e+00
6.511722032923553671e-01,4.804700000000000415e+00
4.446878531717589622e-01,3.155400000000000205e+00
4.342165507380426059e-01,3.083299999999999930e+00
6.400921952050370178e-01,4.711899999999999977e+00
7.287597717522091845e-01,5.414100000000000357e+00
4.328425962584697140e-01,3.064000000000000057e+00
4.358239435963794928e-01,3.094800000000000217e+00
6.528457140723639140e-01,4.827799999999999869e+00
5.458171450570027394e-01,3.959400000000000031e+00
4.836559038214980344e-01,3.464999999999999858e+00
4.183857790889638495e-01,2.959799999999999986e+00
5.086915333661797822e-01,3.676000000000000156e+00
4.711393433269849274e-01,3.362899999999999778e+00
4.281881274438520402e-01,3.034699999999999953e+00
4.161164109573517456e-01,2.944500000000000117e+00
5.093420149350227355e-01,3.669399999999999995e+00
4.001499069801195407e-01,2.814999999999999947e+00
4.132782978765190962e-01,2.922099999999999920e+00
4.918531555011018130e-01,3.530600000000000183e+00
4.259966771877939928e-01,3.013300000000000090e+00
3.913003945170430709e-01,2.742900000000000116e+00
5.141427013481549846e-01,3.718900000000000095e+00
5.109670858356388790e-01,3.694999999999999840e+00
4.392444510517645728e-01,3.118300000000000072e+00
4.511697668386522309e-01,3.214900000000000091e+00
4.943836872970674423e-01,3.557900000000000063e+00
4.846088381370610709e-01,3.472799999999999887e+00
4.190191590697667223e-01,2.952399999999999913e+00
5.555655821587649479e-01,4.025999999999999801e+00
4.078608265234616725e-01,2.861699999999999910e+00
5.583851338912290130e-01,4.061099999999999710e+00
4.407935805138851748e-01,3.132299999999999862e+00
4.747490598985423249e-01,3.409499999999999975e+00
5.022311604379223748e-01,3.609500000000000153e+00
