# avg_waiting_times, avg_queue_lengths
1.287162618201598207e+03,1.610975500000000011e+03
1.218628559664575050e+03,1.518252799999999979e+03
1.238914341663256664e+03,1.539991600000000062e+03
1.092526195332560519e+03,1.387270800000000008e+03
1.237983308926702421e+03,1.544296700000000101e+03
1.227701870066358879e+03,1.493164399999999887e+03
1.276546539533222813e+03,1.581496499999999969e+03
1.189736159553917787e+03,1.502762999999999920e+03
1.262415614997782086e+03,1.578610200000000077e+03
1.246883487157906984e+03,1.537837199999999939e+03
1.244368325529142794e+03,1.556777700000000095e+03
1.222002755376701089e+03,1.538346999999999980e+03
1.215288251545237699e+03,1.518131499999999960e+03
1.255456941940047045e+03,1.542403499999999894e+03
1.309669826641647205e+03,1.636072499999999991e+03
1.118301446562224328e+03,1.401250800000000027e+03
1.221389594033671074e+03,1.528919699999999921e+03
1.260176212405376646e+03,1.557719599999999900e+03
1.169206178436787695e+03,1.483292400000000043e+03
1.229533791511557183e+03,1.540464899999999943e+03
1.173142429367362411e+03,1.461868799999999965e+03
1.245327596224413810e+03,1.556940200000000004e+03
1.272287566250433656e+03,1.587268800000000056e+03
1.262831902971449836e+03,1.547414999999999964e+03
1.166150802418762169e+03,1.486120100000000093e+03
1.170103604482067112e+03,1.492504300000000057e+03
1.311180559839148827e+03,1.651234699999999975e+03
1.180040022896554774e+03,1.469407200000000103e+03
1.292893591522806219e+03,1.596584100000000035e+03
1.106344253496638657e+03,1.394210000000000036e+03
1.162630401796142451e+03,1.464327399999999898e+03
1.217112260014883077e+03,1.497902800000000070e+03
1.218612933166354424e+03,1.541967599999999948e+03
1.246439225460672105e+03,1.535983899999999949e+03
1.151627919621020283e+03,1.452614199999999983e+03
1.155472471684580341e+03,1.474713899999999967e+03
1.253910120289095403e+03,1.569363100000000031e+03
1.277977884356786944e+03,1.583691700000000083e+03
1.307900735118475268e+03,1.628210800000000063e+03
1.334853455742050528e+03,1.645951000000000022e+03
1.163378197346925845e+03,1.491529299999999921e+03
1.164713196957838818e+03,1.477981199999999944e+03
1.105390894451378927e+03,1.401407099999999900e+03
1.347452846773771626e+03,1.647975799999999936e+03
1.271174203272625164e+03,1.577090400000000045e+03
1.188660852663116202e+03,1.499915600000000040e+03
1.201754146909582914e+03,1.539373900000000049e+03
1.234691711007610593e+03,1.529697499999999991e+03
1.284883692294025195e+03,1.588015000000000100e+03
1.295737564243150928e+03,1.609324399999999969e+03
1.284574558140316867e+03,1.604001999999999953e+03
1.240983606387599821e+03,1.549280299999999897e+03
1.261999043606523855e+03,1.577217799999999897e+03
1.181607703986148636e+03,1.460345399999999927e+03
1.264651939942429408e+03,1.572888200000000097e+03
1.283802124139498574e+03,1.573553900000000112e+03
1.251146524433447894e+03,1.569152000000000044e+03
1.275305987440002127e+03,1.591990900000000011e+03
1.264045064611364751e+03,1.566667300000000068e+03
1.224585630679549013e+03,1.519640200000000050e+03
1.309888681402089105e+03,1.634882200000000012e+03
1.226789840491657969e+03,1.553688799999999901e+03
1.187083256020779800e+03,1.504174400000000105e+03
1.185287104928704821e+03,1.516078400000000101e+03
1.218467812595896703e+03,1.523919399999999996e+03
1.159560947274686214e+03,1.465134900000000016e+03
1.241428761716631016e+03,1.545113200000000006e+03
1.264850977644314753e+03,1.554262099999999919e+03
1.242434265328705578e+03,1.575931399999999940e+03
1.241049029808503292e+03,1.533867799999999988e+03
1.292225536595938138e+03,1.607845199999999977e+03
1.272288543682597492e+03,1.570258700000000090e+03
1.232716377596408165e+03,1.539736499999999978e+03
1.328752527801128963e+03,1.623857700000000023e+03
1.186755590714884192e+03,1.488509700000000066e+03
1.181935487606880088e+03,1.487263699999999972e+03
1.271741414193616492e+03,1.587627199999999903e+03
1.240857472991266150e+03,1.533196899999999914e+03
1.297342527818864937e+03,1.594537700000000086e+03
1.222406135532433609e+03,1.530041899999999941e+03
1.311963047030649705e+03,1.644776900000000069e+03
1.220877783487268061e+03,1.532111900000000105e+03
1.148593206167397284e+03,1.460616999999999962e+03
1.113178997870380726e+03,1.416963099999999940e+03
1.298617980649332367e+03,1.593816000000000031e+03
1.144536175614141712e+03,1.448082400000000007e+03
1.303272810058444975e+03,1.568578299999999899e+03
1.147966831772043861e+03,1.440912700000000086e+03
1.325864970459238293e+03,1.633509800000000041e+03
1.281694283345091435e+03,1.606661800000000085e+03
1.261947985430344943e+03,1.551743999999999915e+03
1.189646397468283340e+03,1.488995400000000018e+03
1.159119578957868043e+03,1.458602100000000064e+03
1.279791577684275353e+03,1.592620400000000018e+03
1.282304062006634467e+03,1.600032400000000052e+03
1.230926414330325542e+03,1.543806800000000067e+03
1.178339914111878215e+03,1.459112300000000005e+03
1.243839436209443420e+03,1.550655799999999999e+03
1.273552590678335719e+03,1.566487900000000081e+03
1.251889407766811473e+03,1.532859999999999900e+03
1.199764048183084924e+03,1.494066900000000032e+03
1.219143351219146098e+03,1.534087700000000041e+03
1.149643638532869772e+03,1.446300799999999981e+03
1.222677668487360961e+03,1.525764599999999973e+03
1.245208775435912685e+03,1.574518100000000004e+03
1.187267399691051196e+03,1.488593499999999949e+03
1.167879622299092944e+03,1.462877700000000004e+03
1.228432145283874206e+03,1.524312599999999975e+03
1.254229116227139457e+03,1.562717300000000023e+03
1.193100073266341496e+03,1.504069700000000012e+03
1.264469500050706984e+03,1.561045200000000023e+03
1.307886359647957079e+03,1.622083100000000059e+03
1.128183166249512396e+03,1.426376700000000028e+03
1.204060456671376187e+03,1.506975500000000011e+03
1.200305355708078878e+03,1.497122900000000072e+03
1.142391211361356000e+03,1.428814100000000053e+03
1.216035627929292332e+03,1.519243899999999940e+03
1.259878574332123208e+03,1.576887899999999945e+03
1.193939785433135057e+03,1.484513599999999997e+03
1.201132957338909137e+03,1.505597899999999981e+03
1.265168927661263297e+03,1.598043499999999995e+03
1.199479022468060293e+03,1.492977699999999913e+03
1.234984123993915773e+03,1.537672000000000025e+03
1.334036928192914274e+03,1.635591699999999946e+03
1.225035886223003217e+03,1.543271500000000060e+03
1.231490345830363822e+03,1.538980700000000070e+03
