# avg_waiting_times, avg_queue_lengths
2.358754735153302251e-01,1.892999999999999960e-01
2.470312087200925433e-01,1.968000000000000027e-01
2.433794389187060869e-01,1.932000000000000106e-01
2.570274596591568539e-01,2.010000000000000120e-01
2.553667923181366928e-01,2.026999999999999913e-01
2.482565430747539770e-01,1.895000000000000018e-01
2.701310100739029441e-01,2.228999999999999870e-01
2.509600385979749437e-01,2.038999999999999979e-01
2.618803335597732485e-01,2.240999999999999936e-01
2.561839881755986204e-01,2.061999999999999944e-01
2.698107053040288417e-01,2.180999999999999883e-01
2.600840775091494139e-01,2.046000000000000041e-01
2.523500477746813964e-01,2.041999999999999926e-01
2.604495906960255236e-01,2.119000000000000050e-01
2.482788796348064375e-01,1.963000000000000023e-01
2.756295428112823243e-01,2.290000000000000091e-01
2.582538032833958108e-01,2.008999999999999952e-01
2.713580940636446948e-01,2.152000000000000024e-01
2.528330093421579661e-01,2.000000000000000111e-01
2.588123889848173431e-01,2.154000000000000081e-01
2.731852397079245209e-01,2.258999999999999897e-01
2.703741552335982568e-01,2.270000000000000073e-01
2.462355109724480851e-01,1.880999999999999894e-01
2.762684421301126458e-01,2.303999999999999937e-01
2.735953864046629658e-01,2.260999999999999954e-01
2.605679326419809705e-01,2.129000000000000059e-01
2.656237352127649998e-01,2.083000000000000129e-01
2.585099002341965657e-01,2.000000000000000111e-01
2.649485157431659688e-01,2.152000000000000024e-01
2.462505081275275232e-01,1.905999999999999917e-01
2.578509806201397803e-01,2.084000000000000019e-01
2.690871834265869400e-01,2.142999999999999905e-01
2.496496313698696179e-01,1.890000000000000013e-01
2.605123467419861449e-01,2.008999999999999952e-01
2.568141193943655476e-01,2.116999999999999993e-01
2.499108477209326662e-01,1.990000000000000102e-01
2.600803447538343471e-01,2.101000000000000090e-01
2.614977027417880184e-01,1.970000000000000084e-01
2.620758158643513580e-01,2.149000000000000077e-01
2.507085674001073294e-01,2.013000000000000067e-01
2.442963102050595414e-01,1.920999999999999930e-01
2.611682266271141417e-01,1.991999999999999882e-01
2.472108400402441564e-01,1.907999999999999974e-01
2.544685233636153621e-01,1.998000000000000054e-01
2.762006868674595217e-01,2.159999999999999976e-01
2.618604866265409337e-01,2.091000000000000081e-01
2.731965979049003623e-01,2.160999999999999865e-01
2.640814808110527601e-01,2.038000000000000089e-01
2.529065665465174972e-01,1.904000000000000137e-01
2.641352675297503616e-01,2.232999999999999985e-01
2.674452516801944513e-01,2.222000000000000086e-01
2.576342097930710562e-01,2.018000000000000071e-01
2.587431886903314715e-01,2.038000000000000089e-01
2.644419066148600006e-01,2.114000000000000046e-01
2.435111762052853956e-01,1.942000000000000115e-01
2.774952171244114418e-01,2.278000000000000025e-01
2.639002700762957399e-01,2.056000000000000050e-01
2.519796638970160929e-01,1.975999999999999979e-01
2.575522807142257564e-01,2.001999999999999891e-01
2.531909144920078125e-01,2.096000000000000085e-01
2.526575685533858362e-01,2.041000000000000036e-01
2.476726936786961264e-01,1.927999999999999992e-01
2.711828089929998464e-01,2.127999999999999892e-01
2.575713697582660000e-01,2.132000000000000006e-01
2.651709405568802858e-01,2.142000000000000015e-01
2.419547284945095245e-01,1.887999999999999956e-01
2.586218692706613864e-01,2.069000000000000006e-01
2.669803973776046502e-01,2.088000000000000134e-01
2.629038063289180771e-01,2.149999999999999967e-01
2.707351354623502848e-01,2.240999999999999936e-01
2.650777851873151736e-01,2.281999999999999862e-01
2.567064933292792506e-01,2.071999999999999953e-01
2.645973673757256450e-01,2.202000000000000068e-01
2.902542283880622520e-01,2.533000000000000251e-01
2.593988794018406985e-01,2.043000000000000094e-01
2.516488405732169031e-01,2.038000000000000089e-01
2.504422484148350891e-01,1.978000000000000036e-01
2.504337254616917363e-01,2.030000000000000138e-01
2.692184281864085094e-01,2.109000000000000041e-01
2.748820712499931429e-01,2.288000000000000034e-01
2.650730432051082719e-01,2.132000000000000006e-01
2.656050832215345880e-01,2.094000000000000028e-01
2.802403189722786903e-01,2.273000000000000020e-01
2.556617568536093676e-01,2.010000000000000120e-01
2.532164364140287449e-01,2.001999999999999891e-01
2.722164737022138015e-01,2.137000000000000011e-01
2.603383538603177283e-01,2.129999999999999949e-01
2.724065804890449249e-01,2.240000000000000047e-01
2.587416213849523250e-01,2.056000000000000050e-01
2.704312835841176099e-01,2.222999999999999976e-01
2.517535308087950341e-01,2.003999999999999948e-01
2.450202087971494191e-01,2.020000000000000129e-01
2.608637456580773506e-01,2.073000000000000120e-01
2.621072036679179540e-01,2.089000000000000024e-01
2.564068436687216290e-01,2.016000000000000014e-01
2.424452360864770561e-01,1.907999999999999974e-01
2.569287631077653011e-01,1.973000000000000032e-01
2.542833048059999768e-01,1.990000000000000102e-01
2.637604377466682970e-01,2.141000000000000125e-01
2.765618684520725346e-01,2.263999999999999901e-01
2.527652700003148456e-01,2.028000000000000080e-01
2.598733958852511017e-01,2.099000000000000032e-01
2.518496167142398323e-01,1.980000000000000093e-01
2.605255303810865564e-01,2.112999999999999878e-01
2.458351248558935942e-01,2.054999999999999882e-01
2.593721335493489044e-01,2.068000000000000116e-01
2.747639819661120142e-01,2.250999999999999945e-01
2.500334203138142586e-01,2.008000000000000063e-01
2.587139201548819267e-01,2.058999999999999997e-01
2.707481993350033256e-01,2.136000000000000121e-01
2.567982924435398551e-01,2.109000000000000041e-01
2.643135955639783763e-01,2.112999999999999878e-01
2.462320060368428098e-01,1.932999999999999996e-01
2.553913420251799904e-01,1.980000000000000093e-01
2.817466370155226052e-01,2.290000000000000091e-01
2.503053101213362219e-01,1.998999999999999944e-01
2.646032009248929229e-01,2.165999999999999870e-01
2.558815603183844378e-01,2.066000000000000059e-01
2.667205925030537439e-01,2.154999999999999971e-01
2.497356469220282094e-01,1.995000000000000107e-01
2.721437357443919902e-01,2.182999999999999940e-01
2.726992604519981045e-01,2.240000000000000047e-01
2.698726979458934694e-01,2.141000000000000125e-01
2.658855968238586498e-01,2.220999999999999919e-01
2.572819605523413711e-01,2.018999999999999961e-01
2.767899231273495131e-01,2.285000000000000087e-01
2.606669400344679977e-01,2.160999999999999865e-01
2.880190753159584394e-01,2.466000000000000136e-01
2.633204714341195740e-01,2.109000000000000041e-01
2.620045045562092167e-01,2.267000000000000126e-01
2.563135538343562780e-01,2.031999999999999917e-01
2.626746137778674384e-01,2.119999999999999940e-01
2.729004492717777008e-01,2.172000000000000042e-01
2.485986626571652647e-01,1.877999999999999947e-01
2.410255597323905097e-01,1.819000000000000061e-01
2.830424217877169912e-01,2.359999999999999876e-01
2.675403709318402989e-01,2.185999999999999888e-01
2.673413600697387427e-01,2.200999999999999901e-01
2.468367862431413429e-01,1.892000000000000071e-01
2.592130991741367074e-01,2.061999999999999944e-01
2.617551007870421165e-01,2.247000000000000108e-01
2.665324427118822559e-01,2.107999999999999874e-01
2.658377379897410853e-01,2.093000000000000138e-01
2.517137477518476829e-01,1.935999999999999943e-01
2.677519374249877626e-01,2.217999999999999972e-01
2.657629162908371478e-01,2.169000000000000095e-01
2.627359651363346260e-01,1.998000000000000054e-01
2.419532250567947296e-01,1.927999999999999992e-01
2.386423664906265896e-01,1.786999999999999977e-01
2.473182342268578915e-01,1.943999999999999895e-01
2.789210353306770251e-01,2.328999999999999959e-01
2.478221399404146319e-01,1.955000000000000071e-01
2.611403087274232204e-01,2.023999999999999966e-01
2.737613773236403092e-01,2.243999999999999884e-01
2.722568330697691108e-01,2.243999999999999884e-01
2.626588968326185047e-01,2.056000000000000050e-01
2.526480171064766633e-01,2.011999999999999900e-01
2.706527042447431364e-01,2.232999999999999985e-01
2.491647150771261199e-01,1.922000000000000097e-01
2.495897774538748393e-01,1.897000000000000075e-01
2.613602717368658790e-01,2.127000000000000002e-01
2.630211438498049059e-01,2.182000000000000051e-01
2.702001851630193574e-01,2.096000000000000085e-01
2.588366833192982108e-01,2.066999999999999948e-01
2.600985058521297355e-01,2.036999999999999922e-01
2.448511323364256087e-01,1.857999999999999929e-01
2.616072243743586823e-01,2.139000000000000068e-01
2.612464941719184752e-01,1.998999999999999944e-01
2.684756439973091657e-01,2.154999999999999971e-01
2.638973770692292775e-01,2.137000000000000011e-01
2.509744189262791969e-01,1.905999999999999917e-01
2.595814463185387999e-01,2.117999999999999883e-01
2.539095085212121350e-01,2.081000000000000072e-01
2.575210987833595477e-01,2.096000000000000085e-01
2.635738018423026685e-01,2.099999999999999922e-01
2.533945366015914469e-01,2.033999999999999975e-01
2.464534718735550967e-01,1.947000000000000119e-01
2.502995835671052438e-01,2.043000000000000094e-01
2.538167894310873196e-01,1.983999999999999930e-01
2.487810559952112199e-01,1.877999999999999947e-01
2.734408386646258737e-01,2.127000000000000002e-01
2.774487256830368009e-01,2.290999999999999981e-01
2.727752368984454612e-01,2.237999999999999989e-01
2.628685270045283406e-01,2.169999999999999984e-01
2.669546663498036376e-01,2.044999999999999873e-01
2.546347408300275728e-01,2.000000000000000111e-01
2.687476596136786355e-01,2.144000000000000072e-01
2.704320940595332234e-01,2.131000000000000116e-01
2.559350679757331215e-01,2.094999999999999918e-01
2.705640261498888366e-01,2.210999999999999910e-01
2.451375471835676445e-01,1.860999999999999877e-01
2.523280706933200279e-01,2.016999999999999904e-01
2.488061880162124873e-01,2.046999999999999931e-01
2.469179260817662980e-01,1.965000000000000080e-01
2.646546619128138933e-01,2.058000000000000107e-01
2.684764692401217512e-01,2.278999999999999915e-01
2.541168912384557110e-01,2.038000000000000089e-01
2.583397522217913966e-01,2.016999999999999904e-01
2.507188364182779128e-01,2.048999999999999988e-01
