# avg_waiting_times, avg_queue_lengths
6.442655451853526172e-01,7.719000000000000306e-01
7.114383533224557521e-01,8.447999999999999954e-01
6.407692240165531183e-01,7.422999999999999599e-01
7.285580164507990952e-01,8.625000000000000444e-01
7.083341580804681792e-01,8.300999999999999490e-01
6.882642667437588457e-01,7.994999999999999885e-01
8.414606022588606571e-01,1.066400000000000015e+00
7.302867438707167924e-01,8.692999999999999616e-01
7.894074467136522610e-01,9.536999999999999922e-01
7.099212406304034051e-01,8.383000000000000451e-01
8.638741170123414026e-01,1.069600000000000106e+00
7.447535009614538737e-01,8.790000000000000036e-01
7.102168188897192147e-01,8.185999999999999943e-01
7.687947213545175407e-01,9.255999999999999783e-01
7.046959892594124586e-01,8.362000000000000544e-01
8.299969676216606418e-01,1.012399999999999967e+00
7.693153133433255908e-01,9.115999999999999659e-01
8.362709774901005977e-01,1.031199999999999894e+00
7.440903449585752893e-01,8.915999999999999481e-01
7.168649892762614106e-01,8.466000000000000192e-01
8.156935561166739346e-01,1.004799999999999915e+00
8.211626647157806991e-01,1.001900000000000013e+00
6.980454851946141792e-01,8.186999999999999833e-01
8.334121004318185699e-01,1.032399999999999984e+00
8.203753280071046650e-01,1.013200000000000101e+00
7.814390085577817002e-01,9.609999999999999654e-01
7.890724157478923306e-01,9.445999999999999952e-01
7.494481204181548950e-01,8.971000000000000085e-01
7.193446256011382101e-01,8.443000000000000504e-01
6.908121145382560835e-01,8.225999999999999979e-01
7.655253132711627995e-01,9.416999999999999815e-01
7.590464232566289660e-01,8.971999999999999975e-01
7.060890052253216975e-01,8.167999999999999705e-01
7.283236002615465221e-01,8.663999999999999480e-01
7.357983062856660039e-01,8.672999999999999599e-01
7.226530537857625003e-01,8.605000000000000426e-01
7.862825831969033619e-01,9.476999999999999869e-01
7.386998722332691614e-01,8.640999999999999792e-01
7.175899664323936999e-01,8.487000000000000099e-01
7.320799069454078101e-01,8.782999999999999696e-01
7.087486779800293846e-01,8.497999999999999998e-01
7.916359062552458248e-01,9.495000000000000107e-01
6.936541903359406680e-01,8.159999999999999476e-01
7.108678529177037131e-01,8.212000000000000410e-01
8.216929200235862929e-01,9.936000000000000387e-01
7.587709327234739565e-01,9.284000000000000030e-01
8.037498150464696955e-01,9.857000000000000206e-01
7.244114192327641977e-01,8.655000000000000471e-01
7.007839300250028325e-01,7.974999999999999867e-01
7.604947660744524329e-01,9.280000000000000471e-01
7.928951690305421351e-01,9.406999999999999806e-01
7.243026339125268054e-01,8.551999999999999602e-01
7.293916935764079845e-01,8.615000000000000435e-01
7.804137143829515955e-01,9.431000000000000494e-01
6.931600620453218786e-01,8.164000000000000146e-01
8.018324852882244835e-01,9.680999999999999606e-01
8.033703102815435981e-01,9.762999999999999456e-01
7.203878410279828115e-01,8.667000000000000259e-01
7.088504653896946506e-01,8.242000000000000437e-01
7.040182102864667169e-01,8.214000000000000190e-01
7.496683275978114347e-01,8.928000000000000380e-01
6.961675228421178030e-01,8.199999999999999512e-01
7.730683249419529890e-01,9.211000000000000298e-01
7.246790243302145829e-01,8.685000000000000497e-01
7.688111784166600238e-01,9.204999999999999849e-01
6.930228212386098097e-01,8.134000000000000119e-01
7.254060411233060890e-01,8.615000000000000435e-01
7.879926078736755324e-01,9.398999999999999577e-01
7.636595641782444321e-01,9.145999999999999686e-01
7.739921897100549009e-01,9.320000000000000506e-01
7.588743170710188224e-01,9.291000000000000369e-01
7.284441566171002691e-01,8.778000000000000247e-01
7.536371096988776497e-01,9.043999999999999817e-01
8.644432221556215268e-01,1.085499999999999909e+00
7.853247134241317928e-01,9.353000000000000203e-01
7.282754648289349042e-01,8.844999999999999529e-01
7.111049577387806853e-01,8.485000000000000320e-01
7.461212733095727856e-01,9.285999999999999810e-01
8.042596117193387961e-01,9.583000000000000407e-01
7.988681619532004285e-01,9.723000000000000531e-01
7.809062507206242509e-01,9.366999999999999771e-01
7.603030724143513552e-01,9.039000000000000368e-01
8.494359266134295927e-01,1.067099999999999937e+00
6.833054476142674805e-01,7.853999999999999870e-01
7.757418131992471766e-01,9.183000000000000052e-01
7.667391788565975919e-01,8.918000000000000371e-01
7.227449341982021824e-01,8.561999999999999611e-01
8.291842714648522961e-01,1.013099999999999890e+00
7.479754916441631041e-01,8.968000000000000416e-01
7.669273718380660299e-01,9.086999999999999522e-01
7.479128666645826762e-01,8.748000000000000220e-01
6.682933872139373843e-01,8.128999999999999559e-01
7.588706877911375326e-01,8.987000000000000544e-01
7.557582617673590519e-01,8.812999999999999723e-01
7.506510911364911998e-01,8.905999999999999472e-01
6.571399737347063397e-01,7.643999999999999684e-01
7.180559248672003791e-01,8.540999999999999703e-01
7.498991173595496162e-01,8.794999999999999485e-01
8.141631326463572016e-01,9.916000000000000369e-01
8.084720936432592264e-01,9.978000000000000203e-01
7.269741905286382089e-01,8.927000000000000490e-01
7.590677500964886359e-01,9.282000000000000250e-01
6.815585815574085604e-01,7.655999999999999472e-01
7.446753817282489862e-01,8.921999999999999931e-01
7.112504801974267599e-01,8.500999999999999668e-01
7.186749181256882890e-01,8.344000000000000306e-01
8.596846836514657753e-01,1.039800000000000058e+00
7.231367865090368996e-01,8.802999999999999714e-01
7.366330252675655776e-01,8.693999999999999506e-01
7.790123997213036500e-01,9.290000000000000480e-01
7.651048298899707500e-01,9.285999999999999810e-01
7.760878984061488906e-01,9.368999999999999551e-01
6.803951774370635697e-01,8.012000000000000233e-01
7.519028152478280935e-01,9.055999999999999606e-01
8.540928084138503795e-01,1.036799999999999944e+00
7.364657630748244754e-01,9.032000000000000028e-01
7.216766365434080788e-01,8.537000000000000144e-01
7.692099241769179141e-01,9.394000000000000128e-01
7.673596777944436953e-01,9.254000000000000004e-01
7.333574575934056483e-01,8.842999999999999750e-01
7.752512083529452536e-01,9.395000000000000018e-01
