# avg_waiting_times, avg_queue_lengths
5.799002602380393334e+00,5.063600000000000101e+00
7.463750504538725572e+00,6.608200000000000074e+00
5.401325485007679283e+00,4.701500000000000234e+00
8.587516454120583731e+00,7.636400000000000077e+00
7.501595909989889677e+00,6.652400000000000091e+00
6.706988958973507664e+00,5.885500000000000398e+00
1.174853326831119560e+01,1.080189999999999984e+01
8.290160701018830736e+00,7.470200000000000173e+00
1.032997757917272708e+01,9.342000000000000526e+00
6.564449145122741136e+00,5.760799999999999699e+00
1.195101965233329189e+01,1.094500000000000028e+01
9.617961193002731335e+00,8.627800000000000580e+00
7.272510851975993340e+00,6.478299999999999947e+00
8.400223941224606250e+00,7.419500000000000206e+00
7.065585001966893763e+00,6.204900000000000304e+00
9.611909300154904301e+00,8.550499999999999545e+00
8.711412982503087932e+00,7.788899999999999935e+00
1.084332967615898013e+01,9.782600000000000406e+00
9.165361465490425630e+00,8.371600000000000819e+00
6.897786858648728092e+00,6.058600000000000207e+00
1.245652606321479006e+01,1.135940000000000083e+01
1.629696772537165472e+01,1.495289999999999964e+01
9.339853947762223996e+00,8.401699999999999946e+00
1.217589585659190732e+01,1.098099999999999987e+01
1.202536836990277003e+01,1.104550000000000054e+01
8.432916180882008561e+00,7.625700000000000145e+00
1.196293121727087261e+01,1.096490000000000009e+01
8.441262049731589556e+00,7.600699999999999790e+00
6.897651809424819369e+00,5.997399999999999842e+00
6.939611100577139702e+00,6.125200000000000422e+00
8.780000024247183177e+00,7.954399999999999693e+00
9.610922753887326309e+00,8.476599999999999469e+00
7.902084481832537755e+00,7.105299999999999727e+00
8.479551516314648651e+00,7.494900000000000340e+00
7.882836941698833755e+00,7.137299999999999756e+00
7.445493788226644760e+00,6.661100000000000243e+00
1.080479637995368059e+01,9.849099999999999966e+00
1.016249895447184670e+01,9.122500000000000497e+00
7.546028718294812698e+00,6.763499999999999623e+00
8.357811485297887089e+00,7.449099999999999611e+00
8.683353187217639046e+00,7.833599999999999675e+00
1.083383131439914848e+01,9.725799999999999557e+00
7.363549657171048146e+00,6.563799999999999635e+00
6.721245233980873479e+00,5.868699999999999584e+00
1.314288842010851432e+01,1.192120000000000068e+01
9.962866949231777625e+00,9.045700000000000074e+00
9.489216736269558083e+00,8.462099999999999511e+00
7.937079166055153401e+00,7.078899999999999970e+00
7.957644384182315456e+00,6.997899999999999565e+00
8.943120620312239311e+00,8.170700000000000074e+00
1.281355373824226440e+01,1.153229999999999933e+01
8.507009952821768195e+00,7.482400000000000162e+00
7.936744025484353315e+00,7.081699999999999662e+00
8.560927465692598659e+00,7.553300000000000125e+00
7.497229643344150318e+00,6.684700000000000308e+00
9.243602266284584701e+00,8.145799999999999486e+00
1.120796500515752392e+01,1.009089999999999954e+01
6.652255371029410114e+00,5.853699999999999903e+00
8.033976317640734166e+00,7.049999999999999822e+00
7.261611678198748088e+00,6.382500000000000284e+00
7.926740267331290113e+00,7.133300000000000196e+00
7.231316914450879096e+00,6.417399999999999771e+00
9.968513169530133666e+00,9.033400000000000318e+00
7.776678521547824907e+00,6.953400000000000247e+00
1.113637255373019208e+01,1.011560000000000059e+01
9.413256354892244104e+00,8.449999999999999289e+00
1.040912733828421466e+01,9.396000000000000796e+00
8.434668054148495742e+00,7.479899999999999771e+00
9.190074636054072599e+00,8.166299999999999670e+00
8.172316203847806548e+00,7.324499999999999567e+00
9.805995019082992314e+00,8.832900000000000418e+00
1.021500263034381284e+01,9.222400000000000375e+00
9.075655804172455987e+00,8.179100000000000037e+00
1.234463508685525213e+01,1.133649999999999913e+01
8.688751617650160242e+00,7.696299999999999919e+00
7.530406881716252165e+00,6.768299999999999983e+00
6.476299705503934412e+00,5.682400000000000340e+00
8.473827367786951115e+00,7.661299999999999777e+00
1.349119303459489672e+01,1.230080000000000062e+01
9.593915414222514926e+00,8.565599999999999881e+00
7.746777754655509440e+00,6.905300000000000438e+00
9.892748172459446820e+00,8.924799999999999400e+00
1.104442989075319836e+01,1.002570000000000050e+01
6.694502488708909738e+00,5.856499999999999595e+00
8.177377632876590141e+00,7.189899999999999736e+00
8.715885804906818635e+00,7.746400000000000396e+00
1.036232026340003998e+01,9.417799999999999727e+00
1.207288265303152919e+01,1.075479999999999947e+01
1.220188998306224626e+01,1.112689999999999912e+01
1.016595168040618447e+01,9.138199999999999434e+00
9.305478518745514904e+00,8.271399999999999864e+00
5.814151531804849782e+00,5.057599999999999874e+00
8.982215810198422190e+00,8.157400000000000873e+00
7.973435072789523126e+00,7.057699999999999640e+00
9.703285572849088325e+00,8.778100000000000236e+00
5.788774128971580168e+00,5.073100000000000165e+00
8.872658549724080856e+00,8.061400000000000787e+00
9.139645692684677414e+00,8.223499999999999588e+00
1.135480571214606726e+01,1.027580000000000027e+01
8.072177118345612357e+00,7.227100000000000080e+00
6.438496849537835409e+00,5.718399999999999928e+00
1.076474491107133780e+01,9.795799999999999841e+00
6.593960041654824522e+00,5.756000000000000227e+00
8.269965920392643000e+00,7.543999999999999595e+00
7.167237107341413171e+00,6.520999999999999908e+00
8.769863896280325477e+00,7.925200000000000244e+00
1.192435761894518720e+01,1.076919999999999966e+01
9.158869063231719565e+00,8.443199999999999150e+00
1.119751159896947712e+01,1.015199999999999925e+01
8.236854828688210617e+00,7.293300000000000338e+00
7.823396960871203731e+00,7.059800000000000075e+00
9.172777209473860438e+00,8.245400000000000063e+00
8.022455830620812023e+00,7.130799999999999805e+00
8.593934990627092319e+00,7.743500000000000050e+00
1.204783342184430239e+01,1.093369999999999997e+01
9.384617432989445618e+00,8.408599999999999852e+00
8.762089530288065475e+00,7.924999999999999822e+00
8.047162576247304244e+00,7.254500000000000171e+00
8.564993412618058244e+00,7.684599999999999653e+00
8.607591980130923304e+00,7.819099999999999717e+00
1.244970644009666749e+01,1.148220000000000063e+01
8.720575043280216931e+00,7.823699999999999655e+00
1.068117223588403242e+01,9.540900000000000603e+00
8.776801035643613247e+00,7.836999999999999744e+00
1.066384815006069431e+01,9.599500000000000810e+00
1.239138454495491715e+01,1.126510000000000034e+01
8.372914502109408019e+00,7.602299999999999613e+00
1.043369644121090545e+01,9.412900000000000489e+00
7.620916517453156125e+00,6.675200000000000244e+00
9.495296628745681033e+00,8.526400000000000645e+00
6.870113580581143076e+00,6.048199999999999577e+00
9.395865270582286044e+00,8.518700000000000827e+00
1.060722993950193427e+01,9.485599999999999810e+00
8.662624325581294471e+00,7.809499999999999886e+00
7.587216867652464281e+00,6.891600000000000392e+00
1.327348060521940099e+01,1.212229999999999919e+01
9.450703119066179880e+00,8.572499999999999787e+00
1.077808061327061928e+01,9.890100000000000335e+00
9.163879896787102908e+00,8.242399999999999949e+00
9.059475850778996531e+00,8.230600000000000804e+00
7.126770474439943825e+00,6.214900000000000091e+00
8.216420842207453390e+00,7.306700000000000195e+00
1.066641105755149610e+01,9.383499999999999730e+00
7.190356962520329631e+00,6.285800000000000054e+00
1.004442048108071539e+01,9.067800000000000082e+00
8.723308547730313833e+00,7.905400000000000205e+00
8.555779674718337446e+00,7.622600000000000264e+00
6.109599770301189281e+00,5.381800000000000139e+00
5.533278008791850944e+00,4.826399999999999579e+00
7.954428214626462434e+00,7.065999999999999837e+00
1.483021432490866331e+01,1.322830000000000084e+01
8.230906961852891612e+00,7.429199999999999804e+00
1.103651680586541239e+01,9.889400000000000190e+00
9.487886979608001425e+00,8.651899999999999480e+00
7.844152086946765579e+00,7.119399999999999729e+00
7.939412493736922372e+00,7.097500000000000142e+00
7.742770991631244826e+00,6.884699999999999598e+00
9.900736121770638221e+00,8.879300000000000637e+00
6.883342279962111121e+00,6.152400000000000091e+00
7.927618111751951524e+00,7.098399999999999821e+00
9.844963850040757691e+00,8.887700000000000600e+00
8.528176326462597601e+00,7.633600000000000385e+00
8.479720853842810158e+00,7.625000000000000000e+00
7.759466239190455639e+00,6.827499999999999680e+00
9.779639017030323345e+00,8.773400000000000531e+00
7.266154573033652753e+00,6.370800000000000018e+00
8.647214681035169548e+00,7.762800000000000367e+00
8.862767847683826972e+00,7.877200000000000202e+00
7.070896761429365185e+00,6.254100000000000215e+00
9.542170858883110895e+00,8.694900000000000517e+00
8.547220356230507576e+00,7.567800000000000082e+00
6.324033832782836484e+00,5.496599999999999930e+00
1.024559411940984610e+01,9.246000000000000441e+00
7.887032519492737315e+00,7.050099999999999589e+00
8.145595542790740495e+00,7.347599999999999909e+00
8.308159794478658711e+00,7.485699999999999577e+00
9.912218391143467144e+00,8.918400000000000105e+00
7.153104088890104073e+00,6.417900000000000382e+00
1.544206085254795369e+01,1.417570000000000086e+01
7.835509929964973530e+00,7.094299999999999606e+00
8.948642444519727235e+00,7.933600000000000207e+00
1.277228905191625152e+01,1.155829999999999913e+01
9.096263891540893098e+00,8.062500000000000000e+00
9.311391648039904823e+00,8.464999999999999858e+00
1.013123420082512816e+01,9.157799999999999940e+00
6.751822646816349582e+00,5.970500000000000362e+00
7.786256105054237153e+00,6.955000000000000071e+00
1.069160099559371524e+01,9.414500000000000313e+00
6.742272702001984364e+00,5.902599999999999625e+00
1.004508999020957738e+01,8.941399999999999793e+00
6.281188688271952536e+00,5.599099999999999966e+00
6.812460274025154305e+00,6.084800000000000431e+00
7.182081076682856668e+00,6.436600000000000321e+00
7.731771813309115338e+00,6.800900000000000389e+00
1.309364879183621788e+01,1.206789999999999985e+01
8.620420540018850275e+00,7.691399999999999793e+00
8.605528474801776184e+00,7.777300000000000324e+00
8.363809628163117793e+00,7.511499999999999844e+00
7.437206082041912580e+00,6.731600000000000250e+00
9.374129901768490924e+00,8.554100000000000037e+00
8.370851040469480253e+00,7.434800000000000075e+00
8.427059511915846457e+00,7.706400000000000361e+00
8.332041652877093085e+00,7.380600000000000271e+00
7.954958154333273690e+00,7.091499999999999915e+00
9.205325265275872582e+00,8.278600000000000847e+00
7.230039104825046081e+00,6.295200000000000351e+00
1.074767570459604116e+01,9.737199999999999633e+00
8.741576613070790813e+00,7.873800000000000132e+00
8.010305229717220143e+00,7.062800000000000189e+00
1.218315337012620070e+01,1.116360000000000063e+01
8.560297853216919606e+00,7.661299999999999777e+00
1.100254961700414214e+01,9.907700000000000173e+00
7.317543766285496964e+00,6.561399999999999899e+00
7.428371146565697636e+00,6.696100000000000385e+00
8.326343810256849665e+00,7.522599999999999731e+00
7.146747987026751403e+00,6.357499999999999929e+00
8.176791135085435869e+00,7.460899999999999643e+00
1.001853786480744901e+01,8.984400000000000830e+00
6.485497127096777170e+00,5.745800000000000018e+00
7.020967558819486420e+00,6.235599999999999810e+00
8.207649877050535281e+00,7.369200000000000195e+00
7.580696621618316478e+00,6.686200000000000365e+00
7.228553474206773188e+00,6.468200000000000394e+00
8.864310638133975573e+00,7.957200000000000273e+00
7.211393425952253189e+00,6.399399999999999977e+00
7.959982330595638089e+00,7.014100000000000001e+00
9.279903952034848302e+00,8.396900000000000475e+00
